timestamp,detection_time,server_timestamp,protocol,detection_method,ssid,device_name,mac_address,manufacturer,alias,rssi,last_rssi,signal_strength,channel,last_channel,detection_count,latitude,longitude,altitude,gps_timestamp,satellites,fix_quality,gps_time_diff,gps_match_quality,timestamp_source
2026-01-06T10:16:50.922234,2026-01-06 10:16:50,2026-01-06T10:16:50.922234,bluetooth_le,unknown,,,d5:99:9c:d6:36:27,Unknown Manufacturer,,-96,-84,WEAK,,,21,,,,,,,,,system
2026-01-06T10:17:14.659122,2026-01-06 10:17:14,2026-01-06T10:17:14.659122,bluetooth_le,unknown,,,,Unknown,,-67,,MEDIUM,,,1,,,,,,,,,system
2026-01-06T10:17:31.949480,2026-01-06 10:17:31,2026-01-06T10:17:31.949480,wifi,probe_request_unknown,Mobile-WLAN,,90:09:df:56:b7:01,Intel Corporate,,-83,-85,WEAK,6,6,2,,,,,,,,,system
2026-01-06T10:17:34.666073,2026-01-06 10:17:34,2026-01-06T10:17:34.666073,wifi,probe_request_unknown,,,ee:12:0c:cd:7d:90,Unknown Manufacturer,,-86,-85,WEAK,9,9,2,,,,,,,,,system
2026-01-06T10:17:34.989650,2026-01-06 10:17:34,2026-01-06T10:17:34.989650,wifi,probe_request_unknown,,,fe:f5:6f:85:b1:d9,Unknown Manufacturer,,-86,,WEAK,9,,1,,,,,,,,,system
2026-01-06T10:17:35.762619,2026-01-06 10:17:35,2026-01-06T10:17:35.762619,wifi,probe_request_unknown,MA-WLAN,,a2:4d:ae:f2:84:41,Unknown Manufacturer,,-92,-95,WEAK,12,8,3,,,,,,,,,system
2026-01-06T10:17:40.514966,2026-01-06 10:17:40,2026-01-06T10:17:40.514966,bluetooth_le,unknown,,,fa:51:60:01:eb:c9,Unknown Manufacturer,,-86,-86,WEAK,,,4,,,,,,,,,system
2026-01-06T10:17:43.119728,2026-01-06 10:17:43,2026-01-06T10:17:43.119728,wifi,probe_request_unknown,,,e4:60:17:0e:ac:95,Intel Corporate,,-73,-67,WEAK,11,9,3,,,,,,,,,system
2026-01-06T10:17:46.500318,2026-01-06 10:17:46,2026-01-06T10:17:46.500318,wifi,probe_request_unknown,,,76:cf:5b:e7:e0:31,Unknown Manufacturer,,-95,,WEAK,3,,1,,,,,,,,,system
2026-01-06T10:17:51.817785,2026-01-06 10:17:51,2026-01-06T10:17:51.817785,bluetooth_le,unknown,,,,Unknown,,,,,,,1,,,,,,,,,system
